time,satellite,brdc_x_km,brdc_y_km,brdc_z_km,sp3_x_km,sp3_y_km,sp3_z_km,dx_km,dy_km,dz_km,position_error_km,brdc_radius_km,sp3_radius_km,radius_difference_km
2022-07-04 11:45:00,R15,6574.46386719,11500.8847656,21823.7446289,18357.472179,-16952.549584,5133.89064,-11783.008311810001,28453.4343496,16689.853988900002,35028.39472961875,25529.78172958082,25509.656118893825,20.12561068699506
2022-07-04 12:15:00,R01,14966.3916016,19818.3681641,5786.79541016,1089.799686,11529.843706,22729.027207,13876.5919156,8288.5244581,-16942.23179684,23415.777995669363,25499.952850531,25509.4813161095,-9.52846557849989
2022-07-04 12:15:00,R02,13886.2231445,4958.07128906,20787.5307617,19419.444757,11480.734077,12009.64849,-5533.221612500001,-6522.662787939999,8777.8822717,12256.136766291385,25485.90000951256,25556.872783467134,-70.97277395457422
2022-07-04 12:15:00,R15,1052.38818359,11045.3911133,22992.6704102,18555.167788,-17452.918721,-1237.816664,-17502.77960441,28498.3098343,24230.4870742,41299.12179629591,25529.80764374877,25503.545118597554,26.262525151214504
2022-07-04 12:45:00,R02,16578.1582031,8848.96240234,17236.5517578,15981.484772,10479.156349,16972.753883,596.6734311,-1630.1939466600015,263.7978747999987,1755.8874695881152,25499.768263738337,25559.635124104305,-59.86686036596802
2022-07-04 12:45:00,R09,25040.3466797,1053.02832031,4984.84472656,-3851.790101,-12780.733223,21742.005343,28892.1367807,13833.76154331,-16757.16061644,36151.50008114474,25553.405006590623,25512.707128697617,40.69787789300608
2022-07-04 13:15:00,R02,19129.0288086,11510.7636719,12351.5512695,11374.737364,9909.281882,20631.439684,7754.2914445999995,1601.4817899000009,-8279.888414500001,11456.453722149337,25514.275263735566,25558.45889234015,-44.183628604583646
2022-07-04 13:15:00,R03,11659.5786133,3252.06347656,22414.340332,24129.55688,3807.570672,7483.586654,-12469.9782667,-555.50719544,14930.753678000001,19461.149801829964,25473.993460272777,25548.721667734313,-74.72820746153593
2022-07-04 13:45:00,R02,21054.0541992,12884.5688477,6512.05712891,6028.08851,10057.333507,22704.443657,15025.9656892,2827.235340700001,-16192.386528089999,22270.30053770692,25528.262781947386,25553.46493392445,-25.202151977064204
2022-07-04 13:45:00,R03,15664.9560547,202.622070312,20101.9355469,21573.254362,3684.617786,13194.367018,-5908.2983073,-3481.995715688,6907.568528899999,9733.796075199198,25485.676695563365,25555.293639521064,-69.61694395769882
