time,satellite,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mod_x_km,mod_y_km,mod_z_km,real_radius_km,modified_radius_km,position_error_km,radius_error_km,inertia_factor
2022-07-04 07:15:00,R01,10858.505023,4904.90224,-22549.607957,0.017553883333330304,3.101094200000001,0.6177851466666713,10881.68172894594,4922.801430509506,-22590.390813755763,25503.9215873338,25553.29192672684,50.20739113478397,49.37033939304092,0.999
2022-07-04 07:20:00,R01,10886.00724,5826.256682,-22315.521663,0.09167405666667036,3.0711814733333327,0.7802876466666688,10909.211475692688,5845.078149228224,-22356.070199141148,25503.586564358047,25553.271969376,50.36733034313886,49.6854050179536,0.999
2022-07-04 07:25:00,R01,10935.250396,6736.123565,-22033.188396,0.1641438533333288,3.032889609999999,0.9411108899999938,10958.503924141134,6755.855809888884,-22073.454316258267,25503.263571546988,25553.234265575204,50.511705510806465,49.9706940282158,0.999
2022-07-04 07:30:00,R01,11005.593727,7632.033141,-21703.216292,0.2344777700000001,2.9863652533333336,1.0999070133333346,11028.917668885879,7652.662192271267,-21743.15190985186,25502.95317343539,25553.178247548305,50.64007893613532,50.22507411291372,0.999
2022-07-04 07:35:00,R01,11096.25405,8511.570137,-21326.316552,0.3022010766666669,2.931789986666669,1.256332466666669,11119.668742959953,8533.079605684681,-21365.87489283484,25502.65589728491,25553.10334277194,50.75201886734633,50.44744548703238,0.999
2022-07-04 07:40:00,R01,11206.309687,9372.383966,-20903.301923,0.36685212333333767,2.869379429999996,1.4100487633333372,11229.834545762757,9394.755110189184,-20942.43682576777,25502.372228700206,25553.008975596327,50.84710106568345,50.63674689612162,0.999
2022-07-04 07:45:00,R01,11334.705064,10212.198653,-20435.084969,0.4279845899999964,2.79938229,1.5607231799999985,11358.358446663657,10235.410452531527,-20473.75118612813,25502.10261736181,25552.894579013362,50.924910367373315,50.79196165155372,0.999
2022-07-04 07:50:00,R01,11480.255956,11028.822434,-19922.67611,0.48516964000000373,2.722079270000001,1.7080295299999975,11504.055035252246,11052.851674753749,-19960.82940534735,25501.847471897796,25552.759595542684,50.98504222140493,50.9121236448882,0.999
2022-07-04 07:55:00,R01,11641.655377,11820.156943,-19367.181465,0.5379980699999942,2.6377816966666674,1.851648816666663,11665.616017234226,11844.978310389384,-19404.778709651655,25501.60716449502,25552.603487818942,51.027104218338,50.99632332392139,0.999
2022-07-04 08:00:00,R01,11817.480049,12584.206014,-18769.800472,0.5860822400000022,2.546830236666665,1.991269976666675,11841.6166899069,12609.792195274269,-18806.79973767968,25501.382030588033,25552.425744180728,51.05071759832676,51.043713592694985,0.999
2022-07-04 08:05:00,R01,12006.197464,13319.083971,-18131.823316,0.6290580500000033,2.449593190000002,2.126590519999991,12030.523011228222,13345.40576584484,-18168.183965907912,25501.17236782949,25552.225883429604,51.05551873727195,51.053515600113315,0.999
2022-07-04 08:10:00,R01,12206.173467,14023.023463,-17454.628147,0.6665866766666659,2.346464973333332,2.257317230000008,12230.699190407402,14050.049901980976,-17490.31092386587,25500.978442020376,25552.00346641902,51.04116062070133,51.025024398644746,0.999
2022-07-04 08:15:00,R01,12415.680353,14694.3827,-16739.678121,0.698356286666664,2.237864123333335,2.3831667533333287,12440.415793010005,14722.081170249245,-16774.645232174178,25500.800480702866,25551.758095123005,51.00731428436618,50.95761442013827,0.999
2022-07-04 08:20:00,R01,12632.905417,15331.652174,-15988.518241,0.7240835466666673,2.1242315800000022,2.50386626666667,12657.85829951651,15359.988551630628,-16022.733440382386,25500.638682240424,25551.489427006225,50.95367024940136,50.85074476580121,0.999
2022-07-04 08:25:00,R01,12855.959938,15933.460733,-15202.772021,0.7435150700000001,2.0060285299999974,2.6191540666666637,12881.13609831531,15962.399521600597,-15236.200687629635,25500.493210524663,25551.197174775247,50.87993992260046,50.70396425058425,0.999
2022-07-04 08:30:00,R01,13082.888542,16498.581032,-14384.13799,0.7564286800000021,1.8837343299999945,2.728780103333338,13108.29185807507,16528.08550658558,-14416.747203145149,25500.36420107027,25550.881117270204,50.78585698919429,50.51691619993289,0.999
2022-07-04 08:35:00,R01,13311.678895,17025.93434,-13534.386009,0.762634509999995,1.757844360000005,2.8325066033333313,13337.311230447442,17055.96669577477,-13566.144619561566,25500.251759427683,25550.541102373092,50.67117877722748,50.28934294540886,0.999
